cluster_id, record_id
161,A929796
162,A904855
162,A918051
162,A926927
163,A904856
163,A984851
163,A957040
168,A904861
168,A967920
168,A973853
169,A904862
170,A904863
172,A904865
172,A975357
174,A904867
175,A904868
178,A904871
179,A904872
179,A974643
179,A964446
179,A987799
181,A904874
182,A904875
183,A904876
183,A936167
186,A904879
186,A907903
187,A904880
188,A904881
188,A920181
188,A951509
189,A904882
189,A922817
190,A904883
191,A904884
192,A904885
193,A904886
194,A904887
194,A974139
196,A904889
196,A955742
197,A904890
198,A904891
199,A904892
200,A904893
201,A904894
202,A904895
204,A904897
204,A919231
204,A984145
205,A904898
205,A948462
209,A904902
212,A904905
212,A923990
212,A974473
215,A904908
216,A904909
216,A964392
216,A976525
217,A904910
218,A904911
218,A949241
219,A904912
219,A952111
220,A904913
221,A904914
221,A963347
222,A904915
225,A904918
226,A904919
226,A908513
226,A943626
227,A904920
228,A904921
228,A916382
228,A938451
228,A960313
228,A970805
228,A995347
228,A944484
228,A950313
229,A904922
230,A904923
230,A958124
230,A993337
233,A904926
234,A904927
235,A904928
235,A978742
235,A959400
235,A922799
235,A920660
236,A904929
237,A904930
237,A970640
237,A911316
241,A904934
241,A914790
241,A997241
241,A917979
241,A943659
241,A939820
241,A952900
241,A971593
243,A904936
243,A941703
244,A904937
244,A925520
244,A929840
244,A944986
245,A904938
245,A998108
245,A917777
245,A927976
245,A955911
245,A972510
247,A904940
248,A904941
248,A948297
248,A988673
248,A989128
251,A904944
251,A994597
253,A904946
255,A904948
255,A913300
258,A904951
258,A930149
259,A904952
259,A988694
259,A919531
259,A997199
259,A924236
259,A943824
261,A904954
264,A904957
265,A904958
266,A904959
267,A904960
268,A904961
268,A931453
268,A931821
268,A953986
268,A989056
269,A904962
271,A904964
271,A972838
274,A904967
276,A904969
278,A904971
280,A904973
281,A904974
281,A976611
283,A904976
283,A910170
283,A945343
283,A951381
284,A904977
284,A947831
286,A904979
287,A904980
288,A904981
288,A956480
289,A904982
289,A951166
290,A904983
290,A923461
290,A957238
290,A957575
293,A904986
294,A904987
294,A994730
295,A904988
295,A936273
295,A911946
297,A904990
297,A916475
297,A975984
298,A904991
299,A904992
300,A904993
300,A964962
302,A904995
302,A955659
302,A991483
304,A904997
304,A950371
304,A946356
307,A905000
309,A905002
309,A975917
310,A905003
312,A905005
316,A905009
316,A918121
316,A928120
318,A905011
319,A905012
319,A961940
320,A905013
322,A905015
323,A905016
323,A919166
324,A905017
324,A972445
325,A905018
325,A979004
325,A912632
325,A987970
325,A915896
325,A975800
326,A905019
327,A905020
328,A905021
328,A916399
329,A905022
329,A936497
329,A960600
330,A905023
330,A907213
330,A994051
330,A975158
331,A905024
332,A905025
332,A980602
333,A905026
335,A905028
337,A905030
338,A905031
338,A906368
338,A992853
338,A995463
338,A986163
339,A905032
342,A905035
342,A922949
342,A968550
342,A970354
342,A908500
342,A951225
342,A986643
344,A905037
345,A905038
346,A905039
348,A905041
351,A905044
353,A905046
354,A905047
356,A905049
358,A905051
358,A940972
360,A905053
363,A905056
365,A905058
367,A905060
367,A981710
368,A905061
369,A905062
369,A986446
371,A905064
372,A905065
374,A905067
375,A905068
378,A905071
379,A905072
382,A905075
385,A905078
387,A905080
388,A905081
388,A996006
388,A937961
388,A936726
389,A905082
389,A910879
389,A924630
389,A958364
389,A937004
389,A956140
389,A979686
389,A931879
393,A905086
394,A905087
394,A914879
394,A927263
394,A954649
394,A909966
396,A905089
399,A905092
399,A961369
400,A905093
400,A944879
401,A905094
401,A925054
401,A936537
401,A978155
401,A906088
401,A913683
403,A905096
404,A905097
404,A973519
404,A989538
404,A918212
406,A905099
406,A982792
408,A905101
410,A905103
411,A905104
411,A905309
411,A910077
411,A967201
414,A905107
415,A905108
415,A921235
415,A963015
415,A997255
415,A998164
415,A985858
415,A925695
417,A905110
418,A905111
420,A905113
420,A912176
420,A969450
420,A988198
422,A905115
422,A935150
422,A955008
422,A950007
422,A933892
423,A905116
424,A905117
424,A962677
424,A959528
424,A978377
424,A981171
424,A995667
425,A905118
427,A905120
427,A952219
429,A905122
429,A962415
429,A967553
430,A905123
432,A905125
432,A913159
432,A930763
432,A990217
432,A987984
432,A917403
434,A905127
436,A905129
437,A905130
438,A905131
439,A905132
439,A961802
439,A987704
439,A959355
439,A995102
440,A905133
443,A905136
444,A905137
445,A905138
446,A905139
446,A907072
446,A957229
446,A968548
446,A981190
446,A993444
446,A916700
449,A905142
449,A987864
450,A905143
451,A905144
452,A905145
453,A905146
453,A944663
454,A905147
454,A964845
454,A952200
455,A905148
458,A905151
459,A905152
460,A905153
461,A905154
461,A929528
461,A968424
462,A905155
463,A905156
464,A905157
465,A905158
466,A905159
466,A908849
466,A913689
466,A915798
466,A933813
466,A936444
466,A924034
467,A905160
467,A916712
467,A922763
467,A996431
467,A908367
468,A905161
477,A905170
478,A905171
478,A992122
478,A963302
478,A964710
479,A905172
479,A913196
479,A977953
481,A905174
482,A905175
483,A905176
483,A917462
483,A953186
483,A954929
483,A918507
484,A905177
486,A905179
487,A905180
487,A911313
488,A905181
490,A905183
490,A994678
492,A905185
494,A905187
495,A905188
496,A905189
497,A905190
498,A905191
499,A905192
500,A905193
501,A905194
501,A957010
501,A986800
502,A905195
503,A905196
505,A905198
506,A905199
506,A944528
506,A969836
506,A920979
506,A989380
506,A997718
507,A905200
509,A905202
509,A977277
509,A923683
509,A936901
509,A974096
510,A905203
511,A905204
511,A996516
512,A905205
512,A917278
513,A905206
516,A905209
516,A912200
516,A959403
517,A905210
518,A905211
519,A905212
520,A905213
520,A996566
521,A905214
521,A932651
521,A950754
521,A976283
522,A905215
527,A905220
527,A987825
528,A905221
528,A991811
530,A905223
530,A982030
532,A905225
532,A981422
534,A905227
534,A975697
534,A988804
535,A905228
539,A905232
539,A959759
540,A905233
542,A905235
542,A964732
543,A905236
543,A985005
544,A905237
544,A909369
544,A907569
545,A905238
545,A953800
545,A906716
546,A905239
548,A905241
548,A930420
548,A930470
548,A934565
548,A948006
548,A977607
548,A994787
548,A940726
549,A905242
549,A925693
553,A905246
555,A905248
555,A939265
556,A905249
556,A909071
556,A932048
556,A982434
557,A905250
557,A915360
559,A905252
559,A946515
560,A905253
560,A992448
561,A905254
562,A905255
562,A976238
563,A905256
564,A905257
564,A978525
566,A905259
568,A905261
569,A905262
569,A908599
569,A924441
570,A905263
570,A949900
571,A905264
573,A905266
573,A939796
574,A905267
575,A905268
576,A905269
576,A968994
576,A974308
578,A905271
578,A983988
579,A905272
579,A959109
581,A905274
584,A905277
585,A905278
585,A929383
585,A931450
586,A905279
587,A905280
587,A925719
588,A905281
589,A905282
590,A905283
591,A905284
591,A963801
592,A905285
592,A908368
592,A922890
593,A905286
594,A905287
594,A922596
594,A966649
594,A996698
594,A978070
596,A905289
597,A905290
597,A989911
597,A981987
597,A920345
599,A905292
600,A905293
601,A905294
601,A909711
601,A971295
601,A936903
601,A975637
602,A905295
605,A905298
606,A905299
606,A948467
606,A907485
606,A975264
606,A962881
606,A943547
607,A905300
607,A982948
607,A932203
607,A930686
607,A990900
608,A905301
610,A905303
611,A905304
613,A905306
614,A905307
614,A984273
618,A905311
619,A905312
620,A905313
620,A987399
621,A905314
621,A960392
623,A905316
624,A905317
625,A905318
625,A983522
625,A924751
626,A905319
627,A905320
627,A943916
627,A936202
628,A905321
628,A957091
628,A972644
628,A973777
628,A959420
628,A995614
629,A905322
630,A905323
632,A905325
633,A905326
633,A962433
634,A905327
635,A905328
637,A905330
637,A971125
638,A905331
638,A936625
638,A914555
638,A911479
638,A915170
638,A935756
638,A960091
638,A998581
638,A916896
639,A905332
640,A905333
642,A905335
642,A925009
643,A905336
643,A915142
643,A911487
645,A905338
645,A911538
645,A930401
645,A947146
646,A905339
647,A905340
647,A910385
648,A905341
650,A905343
652,A905345
653,A905346
653,A910239
653,A945559
654,A905347
654,A993060
654,A933617
654,A972694
655,A905348
655,A970776
657,A905350
657,A977473
661,A905354
662,A905355
662,A936761
663,A905356
664,A905357
664,A938712
664,A951429
666,A905359
667,A905360
668,A905361
668,A984299
669,A905362
671,A905364
673,A905366
673,A933363
674,A905367
674,A949526
675,A905368
677,A905370
677,A987658
677,A979320
678,A905371
678,A923115
678,A972329
678,A928780
679,A905372
680,A905373
680,A994855
681,A905374
681,A919709
684,A905377
686,A905379
686,A991547
689,A905382
690,A905383
690,A933868
690,A991550
690,A977914
691,A905384
692,A905385
692,A983571
692,A997202
692,A959249
696,A905389
699,A905392
700,A905393
703,A905396
703,A929764
703,A933861
704,A905397
706,A905399
708,A905401
708,A912021
708,A910546
708,A927720
708,A966996
710,A905403
711,A905404
711,A937983
711,A947237
711,A947299
713,A905406
714,A905407
714,A912223
715,A905408
715,A931197
715,A941749
715,A975854
716,A905409
717,A905410
720,A905413
721,A905414
721,A948582
721,A975965
721,A962630
722,A905415
725,A905418
726,A905419
728,A905421
728,A963025
728,A906801
730,A905423
730,A980538
731,A905424
731,A953812
733,A905426
733,A962814
733,A961790
737,A905430
740,A905433
741,A905434
741,A949495
741,A989114
742,A905435
744,A905437
744,A972955
745,A905438
746,A905439
747,A905440
748,A905441
748,A964042
748,A976047
748,A929576
749,A905442
749,A955935
751,A905444
752,A905445
752,A911824
754,A905447
755,A905448
755,A933386
763,A905456
764,A905457
766,A905459
767,A905460
767,A914605
767,A932191
768,A905461
769,A905462
770,A905463
771,A905464
774,A905467
774,A946174
774,A989800
774,A972022
775,A905468
775,A908697
775,A953315
776,A905469
776,A908479
776,A960690
779,A905472
779,A987871
783,A905476
784,A905477
784,A929693
784,A930192
785,A905478
787,A905480
787,A924946
787,A930025
787,A998842
788,A905481
789,A905482
790,A905483
794,A905487
794,A919279
795,A905488
797,A905490
801,A905494
802,A905495
802,A922713
802,A943623
802,A961721
802,A996572
803,A905496
803,A906206
804,A905497
810,A905503
810,A931404
810,A979477
813,A905506
813,A987541
814,A905507
814,A929201
814,A946750
815,A905508
815,A983291
816,A905509
817,A905510
819,A905512
821,A905514
823,A905516
824,A905517
824,A936697
825,A905518
826,A905519
826,A911401
826,A958242
826,A970511
826,A990728
829,A905522
835,A905528
835,A923413
837,A905530
837,A954633
838,A905531
838,A906450
838,A962182
838,A998856
838,A932844
838,A919686
838,A948258
841,A905534
841,A917991
841,A943265
841,A943997
841,A944948
841,A974302
843,A905536
844,A905537
844,A908477
844,A917112
845,A905538
846,A905539
847,A905540
847,A976141
848,A905541
848,A942126
848,A940207
848,A958918
848,A989686
848,A905453
848,A968478
848,A909101
849,A905542
850,A905543
850,A922901
850,A982998
850,A993827
850,A994938
850,A913308
851,A905544
853,A905546
853,A969898
854,A905547
856,A905549
857,A905550
857,A918110
857,A933989
860,A905553
861,A905554
861,A959428
861,A957729
866,A905559
869,A905562
869,A915843
870,A905563
870,A940113
870,A980651
870,A935903
871,A905564
872,A905565
872,A965544
873,A905566
874,A905567
874,A933814
876,A905569
877,A905570
877,A953759
878,A905571
879,A905572
879,A979726
879,A911743
879,A961373
879,A908262
879,A979500
881,A905574
881,A921655
881,A932519
881,A965624
882,A905575
882,A977044
882,A943221
884,A905577
886,A905579
887,A905580
888,A905581
888,A966805
889,A905582
890,A905583
890,A939647
890,A941713
891,A905584
891,A908328
891,A994659
892,A905585
893,A905586
893,A989839
896,A905589
896,A907721
896,A913526
896,A988898
896,A950220
896,A905643
896,A992706
897,A905590
897,A949510
898,A905591
899,A905592
900,A905593
900,A942869
901,A905594
901,A944504
902,A905595
902,A915401
902,A953580
903,A905596
904,A905597
905,A905598
907,A905600
908,A905601
908,A989636
908,A980490
909,A905602
909,A995639
910,A905603
913,A905606
913,A997944
914,A905607
914,A910985
914,A986017
915,A905608
915,A908181
916,A905609
918,A905611
919,A905612
919,A934777
920,A905613
923,A905616
925,A905618
925,A940567
925,A960220
925,A954621
927,A905620
927,A967952
928,A905621
928,A997773
928,A958681
928,A963855
928,A969937
928,A942546
928,A958528
928,A987092
928,A992442
928,A916903
928,A928410
928,A979859
931,A905624
933,A905626
933,A968506
933,A933111
933,A954305
934,A905627
935,A905628
935,A970216
938,A905631
941,A905634
945,A905638
947,A905640
949,A905642
949,A942067
952,A905645
954,A905647
954,A924457
954,A942517
954,A948712
954,A979060
955,A905648
955,A947553
955,A997086
955,A983507
956,A905649
957,A905650
959,A905652
959,A994168
959,A997482
959,A907329
962,A905655
964,A905657
964,A922839
964,A985486
965,A905658
965,A997406
966,A905659
970,A905663
970,A934905
970,A964324
971,A905664
973,A905666
974,A905667
974,A948212
974,A959824
975,A905668
975,A961368
975,A927814
976,A905669
976,A973680
976,A929251
977,A905670
978,A905671
979,A905672
980,A905673
981,A905674
981,A980626
981,A923075
982,A905675
986,A905679
989,A905682
989,A911116
989,A931087
990,A905683
991,A905684
991,A912077
992,A905685
993,A905686
993,A934944
994,A905687
994,A949866
997,A905690
998,A905691
998,A991794
998,A965387
998,A954584
999,A905692
1000,A905693
1000,A951752
1000,A938920
1001,A905694
1001,A954667
1001,A917607
1001,A964699
1002,A905695
1002,A915144
1002,A942274
1002,A942784
1002,A981134
1003,A905696
1003,A946167
1005,A905698
1006,A905699
1007,A905700
1012,A905705
1013,A905706
1014,A905707
1014,A991108
1014,A928862
1015,A905708
1016,A905709
1016,A936512
1016,A947133
1017,A905710
1017,A930773
1017,A967383
1021,A905714
1023,A905716
1023,A946776
1023,A982345
1024,A905717
1025,A905718
1026,A905719
1026,A925390
1028,A905721
1030,A905723
1030,A917089
1030,A947609
1030,A973089
1030,A962778
1031,A905724
1032,A905725
1034,A905727
1034,A978896
1034,A947450
1035,A905728
1035,A935247
1035,A969248
1035,A963620
1035,A916080
1036,A905729
1037,A905730
1037,A936234
1037,A930592
1037,A954225
1039,A905732
1041,A905734
1043,A905736
1043,A926454
1043,A953073
1043,A957468
1044,A905737
1044,A960904
1046,A905739
1047,A905740
1048,A905741
1051,A905744
1052,A905745
1053,A905746
1054,A905747
1056,A905749
1057,A905750
1058,A905751
1059,A905752
1059,A926265
1059,A958529
1061,A905754
1062,A905755
1062,A990863
1063,A905756
1063,A974638
1064,A905757
1065,A905758
1067,A905760
1070,A905763
1071,A905764
1071,A929216
1072,A905765
1073,A905766
1073,A965677
1074,A905767
1074,A978653
1075,A905768
1075,A997476
1078,A905771
1079,A905772
1082,A905775
1082,A947857
1082,A989017
1083,A905776
1083,A986068
1083,A960452
1084,A905777
1084,A917768
1084,A914661
1084,A918702
1085,A905778
1086,A905779
1086,A922679
1086,A997294
1088,A905781
1089,A905782
1090,A905783
1091,A905784
1094,A905787
1094,A997064
1094,A986958
1094,A945410
1096,A905789
1096,A931814
1097,A905790
1098,A905791
1098,A943750
1099,A905792
1101,A905794
1102,A905795
1106,A905799
1106,A917505
1106,A986621
1106,A905451
1107,A905800
1108,A905801
1109,A905802
1111,A905804
1113,A905806
1113,A990192
1115,A905808
1115,A926352
1115,A974821
1115,A992745
1116,A905809
1117,A905810
1117,A954542
1117,A980815
1117,A983929
1120,A905813
1121,A905814
1121,A959195
1121,A998629
1121,A959630
1122,A905815
1122,A956799
1122,A978226
1123,A905816
1125,A905818
1125,A917961
1125,A928385
1127,A905820
1128,A905821
1128,A968520
1130,A905823
1130,A933648
1130,A998672
1133,A905826
1135,A905828
1135,A923380
1136,A905829
1138,A905831
1139,A905832
1139,A983453
1139,A951030
1139,A928969
1141,A905834
1141,A911579
1141,A941002
1141,A991600
1141,A958785
1141,A908506
1142,A905835
1144,A905837
1145,A905838
1147,A905840
1147,A960569
1148,A905841
1150,A905843
1151,A905844
1151,A996807
1151,A935630
1152,A905845
1152,A928533
1153,A905846
1154,A905847
1155,A905848
1158,A905851
1159,A905852
1160,A905853
1162,A905855
1164,A905857
1164,A939148
1165,A905858
1166,A905859
1166,A932375
1166,A953760
1167,A905860
1169,A905862
1169,A909878
1169,A922018
1169,A941064
1169,A956262
1169,A997945
1169,A985766
1170,A905863
1170,A932123
1170,A946332
1171,A905864
1173,A905866
1174,A905867
1180,A905873
1180,A908411
1181,A905874
1181,A996079
1184,A905877
1186,A905879
1186,A945526
1186,A988960
1186,A993892
1186,A981010
1186,A988415
1187,A905880
1188,A905881
1194,A905887
1194,A975414
1194,A981278
1194,A996942
1195,A905888
1195,A949310
1195,A946976
1196,A905889
1198,A905891
1198,A907927
1201,A905894
1201,A955632
1201,A998891
1202,A905895
1203,A905896
1203,A983366
1204,A905897
1204,A952322
1205,A905898
1205,A942694
1205,A958226
1206,A905899
1207,A905900
1209,A905902
1211,A905904
1214,A905907
1214,A957563
1215,A905908
1216,A905909
1216,A918740
1216,A996314
1217,A905910
1218,A905911
1222,A905915
1226,A905919
1227,A905920
1228,A905921
1228,A966430
1228,A921086
1229,A905922
1230,A905923
1230,A904859
1230,A918040
1230,A932942
1231,A905924
1232,A905925
1233,A905926
1233,A988670
1233,A931789
1234,A905927
1234,A907725
1234,A921909
1234,A981252
1235,A905928
1235,A939034
1235,A955945
1236,A905929
1236,A943342
1236,A963316
1237,A905930
1237,A982396
1238,A905931
1238,A914579
1239,A905932
1240,A905933
1241,A905934
1242,A905935
1242,A930052
1244,A905937
1244,A917390
1244,A984950
1244,A913648
1246,A905939
1247,A905940
1247,A966500
1248,A905941
1249,A905942
1249,A927570
1249,A947983
1250,A905943
1250,A918453
1252,A905945
1253,A905946
1253,A950163
1254,A905947
1255,A905948
1255,A973948
1255,A958458
1256,A905949
1256,A952255
1259,A905952
1259,A983387
1259,A994857
1259,A923111
1261,A905954
1261,A939657
1261,A970002
1261,A963023
1261,A961794
1262,A905955
1265,A905958
1266,A905959
1267,A905960
1267,A919236
1268,A905961
1272,A905965
1272,A992236
1274,A905967
1277,A905970
1277,A951017
1280,A905973
1280,A957382
1281,A905974
1282,A905975
1284,A905977
1284,A932836
1284,A939871
1284,A954907
1287,A905980
1287,A963471
1288,A905981
1288,A968095
1288,A916693
1289,A905982
1291,A905984
1291,A932529
1291,A954395
1292,A905985
1292,A987988
1293,A905986
1293,A994391
1294,A905987
1294,A972943
1294,A972556
1296,A905989
1297,A905990
1298,A905991
1301,A905994
1302,A905995
1305,A905998
1306,A905999
1308,A906001
1308,A941405
1308,A966992
1308,A996792
1309,A906002
1309,A995685
1309,A935328
1311,A906004
1312,A906005
1313,A906006
1315,A906008
1315,A937064
1315,A973175
1315,A951874
1316,A906009
1316,A908892
1316,A986422
1317,A906010
1318,A906011
1318,A929101
1318,A910862
1318,A984881
1318,A939643
1318,A947506
1318,A909913
1319,A906012
1320,A906013
1323,A906016
1323,A941178
1324,A906017
1327,A906020
1328,A906021
1328,A919048
1329,A906022
1330,A906023
1331,A906024
1333,A906026
1333,A934946
1335,A906028
1336,A906029
1340,A906033
1342,A906035
1343,A906036
1343,A986354
1344,A906037
1344,A946220
1344,A906003
1344,A939940
1344,A977221
1344,A940814
1344,A987618
1345,A906038
1347,A906040
1348,A906041
1348,A928441
1348,A976427
1350,A906043
1351,A906044
1352,A906045
1355,A906048
1355,A946262
1355,A945401
1356,A906049
1356,A915200
1356,A971838
1356,A987944
1357,A906050
1357,A945908
1358,A906051
1358,A976620
1359,A906052
1360,A906053
1360,A953535
1361,A906054
1361,A967466
1363,A906056
1364,A906057
1366,A906059
1367,A906060
1367,A995721
1367,A951304
1368,A906061
1369,A906062
1369,A908319
1370,A906063
1370,A943038
1371,A906064
1373,A906066
1375,A906068
1376,A906069
1378,A906071
1380,A906073
1381,A906074
1382,A906075
1383,A906076
1383,A958844
1384,A906077
1385,A906078
1386,A906079
1386,A971482
1387,A906080
1387,A981478
1388,A906081
1390,A906083
1390,A988069
1391,A906084
1391,A956052
1392,A906085
1394,A906087
1396,A906089
1396,A936321
1396,A943125
1396,A987547
1397,A906090
1397,A957961
1400,A906093
1400,A975915
1402,A906095
1402,A913946
1402,A977686
1403,A906096
1403,A907606
1403,A938472
1403,A949414
1405,A906098
1405,A914142
1406,A906099
1409,A906102
1411,A906104
1411,A981322
1415,A906108
1415,A905040
1415,A948305
1415,A986294
1415,A938755
1415,A915071
1416,A906109
1417,A906110
1419,A906112
1419,A958580
1419,A987256
1419,A931381
1421,A906114
1421,A913120
1422,A906115
1422,A934846
1422,A940899
1422,A941370
1422,A979522
1422,A980318
1423,A906116
1423,A952093
1423,A992879
1424,A906117
1425,A906118
1426,A906119
1426,A923459
1426,A985669
1427,A906120
1430,A906123
1434,A906127
1435,A906128
1437,A906130
1437,A959883
1439,A906132
1440,A906133
1440,A979630
1441,A906134
1443,A906136
1443,A947379
1445,A906138
1446,A906139
1447,A906140
1450,A906143
1450,A994989
1451,A906144
1453,A906146
1453,A931444
1453,A954434
1454,A906147
1454,A946530
1454,A983053
1454,A986011
1454,A907899
1454,A961563
1456,A906149
1457,A906150
1459,A906152
1459,A928460
1459,A981526
1461,A906154
1461,A967082
1462,A906155
1464,A906157
1466,A906159
1467,A906160
1470,A906163
1470,A907192
1471,A906164
1471,A919893
1471,A930935
1472,A906165
1473,A906166
1473,A983227
1473,A995715
1477,A906170
1479,A906172
1482,A906175
1482,A924188
1482,A997053
1483,A906176
1483,A937773
1483,A905630
1483,A913061
1483,A969370
1484,A906177
1484,A984651
1486,A906179
1486,A939382
1487,A906180
1487,A910444
1488,A906181
1488,A967091
1489,A906182
1489,A949214
1490,A906183
1492,A906185
1492,A981039
1493,A906186
1493,A928558
1493,A906025
1493,A978561
1496,A906189
1496,A964729
1496,A978190
1497,A906190
1498,A906191
1499,A906192
1503,A906196
1505,A906198
1507,A906200
1509,A906202
1509,A994703
1510,A906203
1510,A947067
1510,A981387
1510,A981428
1510,A995412
1510,A967977
1511,A906204
1511,A939543
1511,A960997
1514,A906207
1516,A906209
1517,A906210
1517,A922545
1517,A938211
1519,A906212
1519,A955347
1520,A906213
1521,A906214
1521,A914306
1521,A936405
1523,A906216
1523,A932341
1523,A951434
1524,A906217
1524,A908192
1524,A976154
1524,A993728
1524,A924977
1525,A906218
1525,A949332
1526,A906219
1527,A906220
1527,A940475
1527,A930848
1527,A927070
1527,A935901
1527,A918295
1527,A928146
1527,A984788
1527,A931811
1527,A983359
1529,A906222
1531,A906224
1532,A906225
1533,A906226
1537,A906230
1538,A906231
1539,A906232
1539,A982841
1539,A917509
1539,A924696
1539,A991275
1540,A906233
1541,A906234
1542,A906235
1542,A996974
1542,A926322
1542,A985187
1542,A921301
1542,A954237
1544,A906237
1547,A906240
1547,A989052
1547,A957137
1549,A906242
1550,A906243
1551,A906244
1552,A906245
1552,A913685
1554,A906247
1555,A906248
1555,A949685
1555,A924845
1556,A906249
1556,A937776
1556,A946509
1556,A963300
1556,A979368
1556,A984186
1556,A965306
1558,A906251
1559,A906252
1560,A906253
1560,A904975
1560,A992608
1560,A967096
1561,A906254
1561,A944346
1561,A966709
1562,A906255
1563,A906256
1564,A906257
1565,A906258
1565,A998939
1566,A906259
1566,A925162
1567,A906260
1568,A906261
1570,A906263
1573,A906266
1573,A995992
1575,A906268
1576,A906269
1577,A906270
1580,A906273
1580,A994109
1581,A906274
1581,A940325
1581,A916991
1581,A919421
1581,A909127
1581,A997644
1581,A928322
1582,A906275
1583,A906276
1583,A961902
1584,A906277
1584,A975543
1586,A906279
1586,A934590
1587,A906280
1587,A951300
1589,A906282
1589,A964759
1591,A906284
1593,A906286
1593,A945200
1593,A915905
1593,A948644
1595,A906288
1597,A906290
1598,A906291
1598,A980758
1598,A982501
1599,A906292
1599,A992000
1600,A906293
1601,A906294
1601,A945058
1601,A957278
1601,A986238
1603,A906296
1605,A906298
1606,A906299
1606,A914895
1608,A906301
1609,A906302
1609,A983336
1610,A906303
1611,A906304
1613,A906306
1614,A906307
1615,A906308
1615,A923469
1615,A968860
1616,A906309
1617,A906310
1617,A951243
1617,A948277
1618,A906311
1618,A953861
1618,A979713
1618,A952043
1619,A906312
1620,A906313
1621,A906314
1622,A906315
1623,A906316
1623,A956984
1623,A917105
1623,A934872
1623,A955584
1625,A906318
1625,A992723
1626,A906319
1626,A974097
1630,A906323
1631,A906324
1632,A906325
1632,A933720
1632,A967998
1633,A906326
1633,A941371
1634,A906327
1634,A985561
1635,A906328
1636,A906329
1637,A906330
1637,A916768
1637,A959062
1637,A989728
1637,A932834
1638,A906331
1638,A920911
1638,A930436
1638,A993818
1638,A992619
1638,A988268
1639,A906332
1639,A983662
1640,A906333
1640,A950387
1640,A963211
1640,A978787
1640,A988360
1640,A947428
1641,A906334
1641,A951129
1641,A975778
1641,A956877
1642,A906335
1642,A981093
1642,A913106
1642,A915958
1642,A958870
1642,A918237
1643,A906336
1643,A995294
1645,A906338
1647,A906340
1648,A906341
1650,A906343
1650,A951247
1651,A906344
1651,A938535
1652,A906345
1652,A985254
1652,A963005
1653,A906346
1656,A906349
1656,A961759
1657,A906350
1657,A917484
1658,A906351
1658,A915999
1659,A924004
1659,A935867
1659,A975874
1659,A947007
1659,A954083
1660,A906353
1660,A968789
1661,A906354
1663,A906356
1663,A908899
1663,A940644
1665,A906358
1667,A906360
1667,A912791
1667,A926026
1667,A965169
1668,A906361
1668,A919627
1668,A963394
1668,A952012
1668,A936038
1668,A963763
1669,A906362
1669,A968400
1669,A960706
1670,A906363
1670,A952299
1671,A906364
1672,A906365
1672,A979417
1672,A971498
1672,A982098
1676,A906369
1677,A906370
1677,A963931
1677,A923927
1677,A935514
1678,A906371
1679,A906372
1679,A930762
1680,A906373
1680,A973799
1683,A906376
1683,A990520
1686,A906379
1687,A906380
1687,A949166
1688,A906381
1688,A915577
1688,A933693
1689,A906382
1689,A965180
1690,A906383
1691,A906384
